Player name,Joined,Last Online,Scraping time,Last Online chess.com server time
Tanjiro_Kamado_132,"Feb 4, 2023","Feb 10, 2023",2023-04-04 09:31:33,2023-02-10 00:00:00
RizzoHighasusual,"Jan 27, 2023","Feb 28, 2023",2023-04-04 09:31:38,2023-02-28 00:00:00
suzukn,"Jul 29, 2022",Just now,2023-04-04 09:31:43,2023-04-03 14:31:43
DasTuba,"Jan 15, 2022",5 hours ago,2023-04-04 09:31:47,2023-04-03 09:31:47
Yukzamie,"Jan 16, 2023",7 days ago,2023-04-04 09:31:52,2023-03-27 14:31:52
lensh7,"Dec 26, 2022",Just now,2023-04-04 09:31:57,2023-04-03 14:31:57
Naotzshatzonyou,"Oct 31, 2022",1 hour ago,2023-04-04 09:32:01,2023-04-03 13:32:01
yagiguma,"Sep 12, 2022",21 days ago,2023-04-04 09:32:06,2023-03-13 14:32:06
Hamagurisyugodaimyou,"May 17, 2022","Jun 6, 2022",2023-04-04 09:32:11,2022-06-06 00:00:00
tyworld121,"Dec 15, 2022","Dec 28, 2022",2023-04-04 09:32:16,2022-12-28 00:00:00
monicamoniquinhah,"Sep 7, 2022",Just now,2023-04-04 09:32:20,2023-04-03 14:32:20
Signature19,"May 12, 2022","Feb 21, 2023",2023-04-04 09:32:24,2023-02-21 00:00:00
Chika88kashi,"Jan 8, 2023","Feb 12, 2023",2023-04-04 09:32:30,2023-02-12 00:00:00
hidsak,"Jul 25, 2022",Just now,2023-04-04 09:32:34,2023-04-03 14:32:34
RomanMechtatelev,"Jul 1, 2022","Aug 16, 2022",2023-04-04 09:32:39,2022-08-16 00:00:00
RuKaChAn2,"Aug 4, 2022",Just now,2023-04-04 09:32:43,2023-04-03 14:32:43
Nozzy00,"Jan 3, 2023",15 days ago,2023-04-04 09:32:48,2023-03-19 14:32:48
shibot,"Mar 2, 2021",Just now,2023-04-04 09:32:53,2023-04-03 14:32:53
Filej,"Oct 18, 2018",Just now,2023-04-04 09:32:57,2023-04-03 14:32:57
nanaguzin020,"Jul 10, 2020",2 days ago,2023-04-04 09:33:01,2023-04-01 14:33:01
Suitou2000,"Nov 18, 2022","Feb 19, 2023",2023-04-04 09:33:06,2023-02-19 00:00:00
nikoXdlololol,"Nov 10, 2022","Nov 28, 2022",2023-04-04 09:33:11,2022-11-28 00:00:00
Nomoru,"Aug 30, 2020",2 days ago,2023-04-04 09:33:16,2023-04-01 14:33:16
