Player name,Rating,Won,Draw,Lost
Doomsday_2032,1808,382,28,306
ichi-go-ichi-e,1808,94,1,88
Yurifsa,1806,237,22,193
uistos,1805,2312,62,2041
FORTRESSSMASHER,1804,4133,285,3941
PoimoSan,1804,2127,107,2113
kuromaru_kashiwa,1803,197,14,108
MitrofanAlipov,1802,307,25,257
DelinquentFish,1802,1163,56,1028
AP_Nick,1801,497,47,441
ilgong,1798,1850,101,1875
BackPawn52,1796,56,3,37
IamJval,1795,60,5,44
ONI_hunter,1794,668,52,627
wael8807,1792,2191,162,1934
Logergik2,1792,107,6,61
Delyafox,1787,449,53,383
Injector999,1785,6368,282,6135
student_su,1782,281,18,199
yuki999,1778,2423,161,2327
Lancashire2B,1777,8121,476,7814
Kaoriiii,1774,2663,240,2652
bkseok6016,1773,435,17,339
neverdieee,1771,19,1,18
Takuya62,1769,1421,106,1295
Churrossus,1768,3795,266,3150
laviesauvage,1767,317,22,255
Juego_Malisimo,1767,36,1,8
givememyname,1766,4848,233,4592
Hououinfg,1764,21,4,13
MikaelBjarki,1761,170,19,160
Wataru17,1759,,,
RynnNakamura,1756,206,13,150
Tcg2323Tidbit,1753,24,4,7
Mad_Hatter14,1753,1818,129,1919
JUJU_KY,1743,18634,668,18622
reihosino,1743,157,9,93
Miyamoto_Musashi2004,1742,370,26,298
yay2,1740,866,95,694
Party_Of_One,1739,169,7,75
omgucrzy,1737,2958,190,2763
Lemonewide,1737,272,19,195
Optical-Jackie,1734,109,6,76
AnimeDied,1734,57,3,37
kiula1101,1732,2320,69,2231
sushikiller19,1732,19349,461,13154
shixiaofeng,1727,156,16,157
yuuki600905,1727,236,8,167
Fly_Me_To_The_Moon,1725,8050,285,7464
Thomson0600,1724,1120,40,1037
gobouten012,1724,1193,56,1069
No_Skill_Chess,1724,122,13,65
TamagoReturns,1723,17,1,10
Trikolo,1722,987,56,929
killtimefory,1719,361,17,304
packurkings,1719,277,28,272
Rvl_Leader,1716,201,6,153
tatakaedj,1716,255,21,168
KimizukaKimihiko,1716,836,39,755
JADELBAKKALI,1716,190,14,147
BEDWAR5,1714,2361,127,2167
zaraki_kenpachi22,1713,16,1,13
flyhighponta,1711,1399,82,1125
aoba,1710,2816,132,3259
natsuki_w,1709,4998,165,4820
TetsuroHoshino,1707,348,12,329
BattleCate,1706,5803,332,5547
sora369258,1706,3459,200,3352
Rioooy333,1706,559,20,505
tawashi2,1705,1594,77,1825
barbelo04,1705,637,46,565
ElCaballero_dePapel,1703,482,30,356
nogoruchka,1703,8192,397,7384
ILikeSpaghetti2,1703,200,20,179
azumi_214,1703,9304,668,8971
Childaxe,1702,23,2,9
akiraachess,1702,66,3,36
derecha2000,1701,3266,203,3102
MchMat,1700,6094,415,5163
covidiotic,1700,620,50,515
AnastasiaChess95,1698,253,22,200
FloatingFiesta,1698,,,
pushrain,1697,62,3,35
tofune,1696,349,11,279
kissmyjazz,1695,1695,97,1367
enoharoo,1695,21,0,9
Boogydown374,1694,2999,282,2899
AmanoKozue,1693,604,65,478
Fwahh,1692,472,37,406
skadi_surtr,1691,5283,436,5229
El_Rey_Shotoku_Tenno,1691,33,2,7
taishi33696639,1690,226,14,184
blunder_and_lightning,1688,397,31,347
KarpovWannabe,1688,79,10,48
inorio,1688,28,0,8
Mrzx3,1685,109,3,61
petit_flo,1685,199,19,172
devcel,1685,183,13,179
CampingSniper,1683,438,30,337
CrazinessAndInsanity209,1681,64,3,59
rhz_samsul,1681,531,22,469
murabitod,1681,905,18,855
oppetklohoy,1680,15824,502,18102
nekonomushi,1680,632,33,475
CatOfRailgun,1679,804,90,815
haru_42,1678,493,26,487
mekemekeferret,1678,213,3,151
goxu_a,1678,259,21,203
TJQKA1,1677,352,37,319
AkAcAt4,1677,1802,175,1674
NEON1117,1676,231,37,296
Phantomatee,1676,44,0,25
