Player name,Rating,Won,Draw,Lost,Joined,Last Online,Scraping time,Last Online chess.com server time
Katsuharu_Miyuki,1185,14.0,0.0,8.0,"Dec 24, 2020","Sep 27, 2021",2023-04-02 16:49:09,2021-09-27 00:00:00
shinrock,1181,19.0,3.0,19.0,"Jan 1, 2018",2 days ago,2023-04-02 15:58:15,2023-03-30 20:58:15
kimwg,1181,30.0,0.0,2.0,"Jan 23, 2021","Nov 7, 2021",2023-04-04 15:47:23,2021-11-07 00:00:00
RedFastMath,1161,24.0,0.0,8.0,"Mar 18, 2016",12 hours ago,2023-04-02 18:29:01,2023-04-01 11:29:01
Kuroshi53,1154,18.0,0.0,3.0,"Jun 16, 2020","Apr 16, 2022",2023-04-02 19:52:44,2022-04-16 00:00:00
rorkenz,1151,12.0,0.0,39.0,"Mar 19, 2021",40 minutes ago,2023-04-03 02:40:45,2023-04-02 07:00:45
makkudooru,1145,36.0,0.0,23.0,"May 17, 2020",2 days ago,2023-04-02 22:54:47,2023-03-31 03:54:47
ggc7805,1134,12.0,1.0,20.0,"Apr 25, 2010",5 hours ago,2023-04-03 05:31:26,2023-04-02 05:31:26
Soulreaper1312,1131,13.0,1.0,10.0,"May 25, 2020",Just now,2023-04-02 20:32:04,2023-04-02 01:32:04
honestli,1128,27.0,4.0,19.0,"Apr 5, 2020","Jan 21, 2023",2023-04-03 08:29:29,2023-01-21 00:00:00
elhadjiboubacar,1125,13.0,0.0,25.0,"Dec 1, 2007",4 hours ago,2023-04-03 07:25:19,2023-04-02 08:25:19
Nyx_kise,1123,30.0,5.0,42.0,"Dec 27, 2020",4 hours ago,2023-04-02 22:26:32,2023-04-01 23:26:32
ekiral,1117,11.0,0.0,9.0,"Feb 28, 2016",6 hours ago,2023-04-03 09:17:36,2023-04-02 08:17:36
Alvin1977,1110,8.0,0.0,16.0,"Nov 11, 2020",4 days ago,2023-04-02 22:38:11,2023-03-29 03:38:11
ArsenalSwagus,1091,19.0,0.0,16.0,"Jul 2, 2021",6 hours ago,2023-04-02 20:34:43,2023-04-01 19:34:43
Jintoku,1083,,,,"Mar 21, 2022",27 days ago,2023-04-02 18:24:34,2023-03-05 23:24:34
CookieComputer,1081,17.0,1.0,11.0,"Apr 11, 2014",9 hours ago,2023-04-02 18:04:33,2023-04-01 14:04:33
