Player name,Rating,Won,Draw,Lost,Joined,Last Online,Scraping time,Last Online chess.com server time
shemshak873,2302,2662.0,508.0,2140.0,"Dec 2, 2020",2 hours ago,2023-04-02 13:52:39,2023-04-01 16:52:39
27GM,2293,63.0,7.0,31.0,"Jan 4, 2023",12 days ago,2023-04-02 13:52:45,2023-03-20 18:52:45
Yenalvsu,2280,48.0,3.0,11.0,"Mar 11, 2023",9 hours ago,2023-04-02 13:52:51,2023-04-01 09:52:51
uistos,2279,253.0,12.0,111.0,"Jun 20, 2021",16 hours ago,2023-04-02 13:52:58,2023-04-01 02:52:58
jamomollie,2278,10.0,2.0,9.0,"Feb 7, 2023",1 hour ago,2023-04-02 13:53:05,2023-04-01 17:53:05
Shiki_chess,2278,412.0,26.0,299.0,"Jun 25, 2021",15 days ago,2023-04-02 13:53:11,2023-03-17 18:53:11
zezazuzu,2271,22.0,1.0,6.0,"Sep 8, 2021",3 days ago,2023-04-02 13:53:18,2023-03-29 18:53:18
Paku-Paku,2270,72.0,7.0,37.0,"Jan 14, 2023",6 hours ago,2023-04-02 13:53:24,2023-04-01 12:53:24
Chaz,2268,287.0,23.0,40.0,"Dec 18, 2020",Online Now,2023-04-02 13:53:31,2023-04-01 18:53:31
FujiiwaraNoSai,2264,151.0,13.0,51.0,"Feb 18, 2023",8 hours ago,2023-04-02 13:53:38,2023-04-01 10:53:38
Eirisu,2260,30.0,0.0,5.0,"Dec 27, 2022","Feb 21, 2023",2023-04-02 13:53:44,2023-02-21 00:00:00
Mister_Mime,2258,1914.0,90.0,1430.0,"Dec 4, 2013","Jan 24, 2023",2023-04-02 13:53:51,2023-01-24 00:00:00
Taipanmix,2258,13494.0,1346.0,12269.0,"Jun 28, 2013",3 days ago,2023-04-02 13:53:57,2023-03-29 18:53:57
Matasaburo,2257,358.0,98.0,223.0,"Jun 26, 2021",25 days ago,2023-04-02 13:54:04,2023-03-07 18:54:04
ptetmepugner,2255,671.0,82.0,652.0,"Apr 22, 2019",4 hours ago,2023-04-02 13:54:10,2023-04-01 14:54:10
Megumi_N,2249,2842.0,320.0,2703.0,"Jun 4, 2018",Online Now,2023-04-02 13:54:18,2023-04-01 18:54:18
Mi-Wan,2248,,,,"Dec 1, 2019",3 hours ago,2023-04-02 13:54:24,2023-04-01 15:54:24
RikudouSennin,2245,1704.0,103.0,1323.0,"Sep 29, 2019",3 hours ago,2023-04-02 13:54:31,2023-04-01 15:54:31
qSogeking,2233,29.0,3.0,19.0,"Jul 28, 2021","Feb 21, 2023",2023-04-02 13:54:37,2023-02-21 00:00:00
BadBishop5,2223,1565.0,153.0,1064.0,"May 1, 2012","Jan 24, 2023",2023-04-02 13:54:43,2023-01-24 00:00:00
djahongir2,2222,1591.0,134.0,1189.0,"Nov 21, 2017",12 hours ago,2023-04-02 13:54:50,2023-04-01 06:54:50
chesstrainer95,2219,216.0,33.0,174.0,"Jul 15, 2022",7 hours ago,2023-04-02 13:54:56,2023-04-01 11:54:56
MiyamotoMusashi13,2215,23.0,3.0,14.0,"Jan 19, 2023",21 hours ago,2023-04-02 13:55:03,2023-03-31 21:55:03
keikinkg,2213,634.0,126.0,445.0,"Dec 5, 2011",1 hour ago,2023-04-02 13:55:09,2023-04-01 17:55:09
wakamoridesu,2212,14552.0,1633.0,14693.0,"Aug 28, 2015",19 hours ago,2023-04-02 13:55:16,2023-03-31 23:55:16
makoa,2204,26.0,1.0,8.0,"May 31, 2020",2 days ago,2023-04-02 13:55:23,2023-03-30 18:55:23
suikuren,2204,100.0,13.0,74.0,"Sep 24, 2022",13 days ago,2023-04-02 13:55:29,2023-03-19 18:55:29
