Player name,Joined,Last Online,Scraping time,Last Online chess.com server time
Megumi_N,"Jun 4, 2018",Online Now,2023-04-02 13:54:18,2023-04-01 18:54:18
Mi-Wan,"Dec 1, 2019",3 hours ago,2023-04-02 13:54:24,2023-04-01 15:54:24
RikudouSennin,"Sep 29, 2019",3 hours ago,2023-04-02 13:54:31,2023-04-01 15:54:31
qSogeking,"Jul 28, 2021","Feb 21, 2023",2023-04-02 13:54:37,2023-02-21 00:00:00
BadBishop5,"May 1, 2012","Jan 24, 2023",2023-04-02 13:54:43,2023-01-24 00:00:00
djahongir2,"Nov 21, 2017",12 hours ago,2023-04-02 13:54:50,2023-04-01 06:54:50
chesstrainer95,"Jul 15, 2022",7 hours ago,2023-04-02 13:54:56,2023-04-01 11:54:56
MiyamotoMusashi13,"Jan 19, 2023",21 hours ago,2023-04-02 13:55:03,2023-03-31 21:55:03
keikinkg,"Dec 5, 2011",1 hour ago,2023-04-02 13:55:09,2023-04-01 17:55:09
wakamoridesu,"Aug 28, 2015",19 hours ago,2023-04-02 13:55:16,2023-03-31 23:55:16
makoa,"May 31, 2020",2 days ago,2023-04-02 13:55:23,2023-03-30 18:55:23
suikuren,"Sep 24, 2022",13 days ago,2023-04-02 13:55:29,2023-03-19 18:55:29
DimDo0M,"Jul 5, 2021",5 hours ago,2023-04-02 13:55:36,2023-04-01 13:55:36
monopaul-jp,"Mar 24, 2013",2 hours ago,2023-04-02 13:55:42,2023-04-01 16:55:42
AlexanderEdogawa,"Jan 20, 2017",11 days ago,2023-04-02 13:55:49,2023-03-21 18:55:49
testcalls69,"Sep 8, 2019",3 days ago,2023-04-02 13:55:55,2023-03-29 18:55:55
Giyuu_Tomioka,"May 7, 2019",29 days ago,2023-04-02 13:56:02,2023-03-03 18:56:02
NMFabianTreutlein,"Jul 17, 2021",1 day ago,2023-04-02 13:56:08,2023-03-31 18:56:08
lovew1n,"Feb 23, 2023",5 hours ago,2023-04-02 13:56:15,2023-04-01 13:56:15
Vlsoes,"Feb 11, 2023",7 days ago,2023-04-02 13:56:21,2023-03-25 18:56:21
2KnightShow,"Oct 17, 2017",1 day ago,2023-04-02 13:56:28,2023-03-31 18:56:28
Y-A-N-S-U,"Jun 3, 2022","Feb 21, 2023",2023-04-02 13:56:34,2023-02-21 00:00:00
kalafina_fan,"Dec 20, 2013",21 days ago,2023-04-02 13:56:41,2023-03-11 18:56:41
Fayfe,"Apr 25, 2011",12 hours ago,2023-04-02 13:56:47,2023-04-01 06:56:47
Hiraku_Shimada,"Jan 25, 2023",3 days ago,2023-04-02 13:56:54,2023-03-29 18:56:54
scourzuki,"May 9, 2022",7 days ago,2023-04-02 13:57:00,2023-03-25 18:57:00
Karutt001,"Apr 28, 2020",5 days ago,2023-04-02 13:57:07,2023-03-27 18:57:07
masahirobaba,"Aug 12, 2015",15 days ago,2023-04-02 13:57:13,2023-03-17 18:57:13
RichesttMan,"Dec 30, 2022",20 days ago,2023-04-02 13:57:20,2023-03-12 18:57:20
Embarcadero,"Apr 7, 2015",2 hours ago,2023-04-02 13:57:26,2023-04-01 16:57:26
lacisaille,"Jan 12, 2016",4 days ago,2023-04-02 13:57:33,2023-03-28 18:57:33
ScathachU,"May 25, 2019","Jan 19, 2023",2023-04-02 13:57:39,2023-01-19 00:00:00
BAVMAX,"Feb 25, 2023",22 hours ago,2023-04-02 13:57:46,2023-03-31 20:57:46
gregorius1,"Apr 3, 2014",9 days ago,2023-04-02 13:57:52,2023-03-23 18:57:52
Out_of_the_Zoo,"May 18, 2021",15 days ago,2023-04-02 13:57:59,2023-03-17 18:57:59
