Player name,Rating,Won,Draw,Lost,Joined,Last Online chess.com server time
Paramerion,897,1.0,0.0,2.0,"Sep 7, 2020",2023-04-02 08:26:49
Nazir229,888,15.0,0.0,3.0,"Dec 4, 2020",2023-04-03 22:38:56
stubbit,882,3.0,0.0,2.0,"Sep 11, 2022",2023-04-02 17:14:57
Filozoa,879,3.0,0.0,1.0,"Mar 13, 2023",2023-04-05 04:31:29
yumegami,876,1.0,0.0,3.0,"Apr 29, 2022",2023-04-03 15:09:04
mabemabel,866,10.0,0.0,15.0,"Jun 9, 2018",2023-04-01 16:22:20
Manuel_AC,864,12.0,1.0,5.0,"Nov 20, 2022",2023-03-06 14:04:47
yurachance,852,67.0,0.0,18.0,"Aug 1, 2022",2023-04-04 05:16:04
Grantmachado,845,2.0,0.0,2.0,"Mar 6, 2017",2023-04-01 21:09:56
Ai_stillbelieved1246,831,1.0,0.0,5.0,"Jun 19, 2016",2023-03-30 23:35:22
usahiko,830,20.0,0.0,8.0,"Dec 27, 2020",2023-04-02 16:04:59
pwgmad,829,31.0,0.0,10.0,"Jun 7, 2020",2023-04-02 13:57:01
Fruta_abrico2022,815,1.0,0.0,3.0,"Jan 11, 2022",2023-04-04 16:15:34
Weirdly_Checked,813,1.0,0.0,2.0,"Feb 4, 2021",2023-04-01 02:32:05
mamavon0325,809,1.0,0.0,3.0,"Apr 25, 2021",2023-04-01 12:44:20
Nevergonnagiveyouup6,805,1.0,0.0,3.0,"Dec 24, 2020",2023-04-04 04:10:52
thomasr75,795,17.0,0.0,0.0,"Jan 13, 2014",2023-04-03 02:36:44
ChocoWaterMelon,783,13.0,0.0,5.0,"Jul 13, 2022",2023-04-02 20:53:21
TreeFalls,777,19.0,2.0,12.0,"Jan 20, 2022",2023-04-02 17:37:49
bad_move1,752,15.0,0.0,1.0,"Feb 15, 2023",2023-04-02 08:33:22
Mikahel369,744,8.0,0.0,5.0,"May 24, 2019",2023-04-02 05:31:39
e4_lover,738,4.0,0.0,3.0,"Nov 18, 2021",2023-04-01 17:49:57
SotaUN,718,2.0,0.0,3.0,"Jun 30, 2020",2023-04-02 09:12:15
IgorNakano,717,16.0,0.0,2.0,"Feb 20, 2019",2023-04-02 09:30:59
raintet,715,13.0,0.0,6.0,"Feb 15, 2022",2023-04-02 21:45:52
renkaisan,714,8.0,1.0,100.0,"May 22, 2021",2023-04-01 18:09:26
Mere6,708,17.0,2.0,14.0,"Oct 11, 2022",2023-04-02 16:53:52
FareSh83,700,13.0,0.0,4.0,"Feb 4, 2023",2023-04-05 04:31:33
Kokoro_komeiji,699,7.0,0.0,2.0,"Apr 7, 2022",2023-04-01 23:44:30
xhope999,669,14.0,0.0,4.0,"Apr 14, 2021",2023-04-03 10:47:04
shiratoe,664,5.0,0.0,2.0,"Dec 13, 2022",2023-04-02 06:38:06
yoppi0407,660,10.0,1.0,18.0,"May 8, 2020",2023-04-03 11:08:23
OsakaJack,660,1.0,0.0,3.0,"Jan 23, 2023",2023-04-04 22:31:37
orlov3398,660,2.0,0.0,5.0,"Apr 28, 2022",2023-04-03 11:26:41
Momoru42,653,1.0,0.0,5.0,"Jul 23, 2020",2023-03-31 23:34:55
Guber02,624,2.0,0.0,2.0,"Aug 21, 2021",2023-04-02 16:10:06
SainaaSaint,620,1.0,1.0,1.0,"May 3, 2020",2023-04-02 05:18:09
RedFastMath,616,11.0,0.0,23.0,"Mar 18, 2016",2023-04-01 11:29:01
portmantokyo,605,7.0,0.0,5.0,"Apr 12, 2022",2023-04-03 15:09:25
Shake4x,599,3.0,0.0,3.0,"Feb 26, 2021",2023-04-05 03:31:42
Mike3691,597,19.0,0.0,25.0,"Nov 23, 2015",2023-04-02 06:43:56
yamajunn,577,8.0,0.0,16.0,"Nov 16, 2010",2023-02-16 00:00:00
Initialized,554,4.0,0.0,4.0,"Nov 27, 2020",2023-04-01 22:54:28
mrsdifficulty,537,,,,"Oct 22, 2016",2023-04-02 09:12:27
Boramaru,532,1.0,0.0,2.0,"Jun 26, 2021",2023-04-02 02:25:33
AnoSheo,494,3.0,0.0,1.0,"May 26, 2022",2023-04-05 03:31:51
chess171212,485,1.0,0.0,7.0,"Jan 23, 2021",2023-04-04 06:26:58
Catfeatherna,482,4.0,1.0,3.0,"Dec 30, 2022",2023-04-02 07:47:07
CrisisCurry,455,13.0,0.0,60.0,"Aug 29, 2021",2023-04-04 11:31:56
ImAPencil,454,8.0,0.0,2.0,"Nov 4, 2022",2023-04-02 03:43:53
ima_da,396,1.0,0.0,3.0,"Jan 9, 2023",2023-03-31 16:16:16
yunameido,358,0.0,0.0,3.0,"Jun 23, 2022",2023-04-04 03:22:56
ayanokoh,356,4.0,0.0,6.0,"Apr 4, 2021",2023-03-24 17:39:01
Eugene_O_O,348,1.0,0.0,15.0,"Mar 11, 2018",2023-03-27 04:32:01
sugamchetri,272,6.0,0.0,3.0,"Jan 19, 2023",2023-04-02 01:08:09
fwfqtjfqjfajqtktwndj,132,6.0,0.0,12.0,"Feb 3, 2023",2023-03-25 20:54:47
